mu10sigma25rf0,mu10sigma25rf2,mu10sigma25rf3,mu10sigma25rf4,mu10sigma15rf0,mu10sigma15rf2,mu10sigma15rf3,mu10sigma15rf4,mu13sigma25rf0,mu15sigma25rf2,mu15sigma25rf3,mu15sigma25rf4,mu13sigma15rf0,mu13sigma15rf2,mu13sigma15rf3,mu13sigma15rf4
18.0591463,14.44731704,12.64140241,10.83548778,50.16429528,40.13143622,35.11500669,30.09857717,23.47689019,19.86506093,18.0591463,16.25323167,65.21358386,55.18072481,50.16429528,45.14786575
18.64169937,14.9133595,13.04918956,11.18501962,51.78249826,41.42599861,36.24774878,31.06949895,24.23420918,20.50586931,18.64169937,16.77752944,67.31724773,56.96074808,51.78249826,46.60424843
19.22425239,15.37940192,13.45697668,11.53455144,53.40070109,42.72056088,37.38049077,32.04042066,24.99152811,21.14667763,19.22425239,17.30182715,69.42091142,58.7407712,53.40070109,48.06063099
19.80680566,15.84544452,13.86476396,11.88408339,55.0189046,44.01512368,38.51323322,33.01134276,25.74884735,21.78748622,19.80680566,17.82612509,71.52457598,60.52079506,55.0189046,49.51701414
20.38935876,16.31148701,14.27255113,12.23361526,56.63710768,45.30968614,39.64597537,33.98226461,26.50616639,22.42829464,20.38935876,18.35042289,73.62823998,62.30081844,56.63710768,50.97339691
20.97191179,16.77752944,14.68033826,12.58314708,58.25531054,46.60424843,40.77871738,34.95318632,27.26348533,23.06910297,20.97191179,18.87472061,75.7319037,64.08084159,58.25531054,52.42977949
21.5544649,17.24357192,15.08812543,12.93267894,59.87351361,47.89881089,41.91145953,35.92410817,28.02080437,23.70991139,21.5544649,19.39901841,77.83556769,65.86086497,59.87351361,53.88616225
22.13701807,17.70961446,15.49591265,13.28221084,61.49171686,49.19337349,43.0442018,36.89503012,28.77812349,24.35071988,22.13701807,19.92331626,79.93923192,67.64088855,61.49171686,55.34254517
22.71957099,18.17565679,15.90369969,13.63174259,63.10991941,50.48793553,44.17694358,37.86595164,29.53544228,24.99152808,22.71957099,20.44761389,82.04289523,69.42091135,63.10991941,56.79892747
23.30212422,18.64169937,16.31148695,13.98127453,64.72812282,51.78249826,45.30968598,38.83687369,30.29276148,25.63233664,23.30212422,20.97191179,84.14655967,71.2009351,64.72812282,58.25531054
23.88467737,19.1077419,16.71927416,14.33080642,66.34632604,53.07706083,46.44242823,39.80779562,31.05008059,26.27314511,23.88467737,21.49620964,86.25022385,72.98095864,66.34632604,59.71169343
24.46723027,19.57378421,17.12706119,14.68033816,67.96452852,54.37162281,47.57516996,40.77871711,31.80739935,26.91395329,24.46723027,22.02050724,88.35388707,74.76098137,67.96452852,61.16807567
25.04978371,20.03982696,17.53484859,15.02987022,69.58273251,55.66618601,48.70791276,41.74963951,32.56471882,27.55476208,25.04978371,22.54480533,90.45755227,76.54100577,69.58273251,62.62445926
25.63233653,20.50586922,17.94263557,15.37940192,71.20093479,56.96074783,49.84065435,42.72056088,33.32203748,28.19557018,25.63233653,23.06910287,92.56121523,78.32102827,71.20093479,64.08084131
26.21488974,20.97191179,18.35042282,15.72893385,72.81913817,58.25531054,50.97339672,43.6914829,34.07935667,28.83637872,26.21488974,23.59340077,94.66487963,80.10105199,72.81913817,65.53722436
26.79744265,21.43795412,18.75820986,16.07846559,74.4373407,59.54987256,52.10613849,44.66240442,34.83667545,29.47718692,26.79744265,24.11769839,96.76854291,81.88107477,74.4373407,66.99360663
27.37999587,21.9039967,19.16599711,16.42799752,76.05554409,60.84443528,53.23888087,45.63332646,35.59399464,30.11799546,27.37999587,24.64199629,98.87220732,83.6610985,76.05554409,68.44998968
27.96254906,22.37003925,19.57378434,16.77752944,77.67374739,62.13899791,54.37162317,46.60424843,36.35131378,30.75880396,27.96254906,25.16629415,100.9758716,85.44112212,77.67374739,69.90637265
28.54510234,22.83608187,19.98157164,17.1270614,79.29195095,63.43356076,55.50436566,47.57517057,37.10863304,31.39961258,28.54510234,25.69059211,103.0795362,87.22114604,79.29195095,71.36275585
29.12765548,23.30212439,20.38935884,17.47659329,80.91015412,64.72812329,56.63710788,48.54609247,37.86595213,32.04042103,29.12765548,26.21488993,105.1832004,89.00116953,80.91015412,72.8191387
29.71020812,23.76816649,20.79714568,17.82612487,82.52835588,66.0226847,57.76984911,49.51701353,38.62327055,32.68122893,29.71020812,26.7391873,107.2868626,90.78119146,82.52835588,74.27552029
30.29276175,24.2342094,21.20493322,18.17565705,84.1465604,67.31724832,58.90259228,50.48793624,39.38059027,33.32203792,30.29276175,27.26348557,109.3905285,92.56121644,84.1465604,75.73190436
30.87531479,24.70025183,21.61272035,18.52518887,85.7647633,68.61181064,60.03533431,51.45885798,40.13790922,33.96284627,30.87531479,27.78778331,111.4941923,94.34123963,85.7647633,77.18828697
31.45786769,25.16629415,22.02050738,18.87472061,87.38296581,69.90637265,61.16807607,52.42977949,40.895228,34.60365446,31.45786769,28.31208092,113.5978556,96.12126239,87.38296581,78.64466923
32.04042091,25.63233673,22.42829464,19.22425255,89.0011692,71.20093536,62.30081844,53.40070152,41.65254719,35.244463,32.04042091,28.83637882,115.70152,97.90128612,89.0011692,80.10105228
32.62297419,26.09837935,22.83608193,19.57378451,90.61937274,72.49549819,63.43356092,54.37162365,42.40986644,35.88527161,32.62297419,29.36067677,117.8051846,99.68131002,90.61937274,81.55743547
33.20552664,26.56442132,23.24386865,19.92331599,92.23757401,73.79005921,64.56630181,55.34254441,43.16718464,36.52607931,33.20552664,29.88497398,119.9088462,101.4613314,92.23757401,83.01381661
33.78808006,27.03046405,23.65165604,20.27284804,93.85577795,75.08462236,65.69904457,56.31346677,43.92450408,37.16688807,33.78808006,30.40927206,122.0125113,103.2413558,93.85577795,84.47020016
34.37063332,27.49650665,24.05944332,20.62237999,95.47398144,76.37918515,66.83178701,57.28438886,44.68182331,37.80769665,34.37063332,30.93356999,124.1161759,105.0213796,95.47398144,85.9265833
34.95318632,27.96254906,24.46723043,20.97191179,97.09218423,77.67374739,67.96452896,58.25531054,45.43914222,38.44850496,34.95318632,31.45786769,126.2198395,106.8014027,97.09218423,87.38296581
35.53573925,28.4285914,24.87501747,21.32144355,98.7103868,78.96830944,69.09727076,59.22623208,46.19646102,39.08931317,35.53573925,31.98216532,128.3235028,108.5814255,98.7103868,88.83934812
